State,White,African American,American Indian,Asian,Hispanic
AL,55265,32188,48188,62639,55511
AK,84799,58209,49834,69685,63478
AZ,58435,45310,35251,74430,59806
AR,49581,30758,37801,65919,35947
CA,74276,49334,53019,91623,72432
CO,71221,49634,46082,73189,66528
CT,82950,47856,41094,93665,57214
DE,70154,48297,45227,96657,54239
DC,132040,43564,42788,103898,120500
FL,56008,39586,45307,68777,52087
GA,63543,42085,38167,77008,39182
HI,77486,70100,47298,83089,62348
ID,53738,39970,40898,53435,39051
IL,69194,37244,47573,85828,53958
IN,57269,33342,41801,62136,50789
IA,60123,31053,36941,60638,42077
KS,59641,35829,43943,68821,51903
KY,50267,33642,33200,62655,34885
LA,58632,29508,41664,61351,56667
ME,56030,38655,32670,55656,70500
MD,90964,65039,69955,102786,89265
MA,81977,48382,42686,91713,79919
MI,59077,33649,42336,82733,58547
MN,71415,34879,36429,75437,72917
MS,54244,29690,33297,59478,26287
MO,56701,35710,40824,67526,48696
MT,53813,41484,32072,58774,36380
NE,61342,34122,37398,56627,42063
NV,61412,39726,41478,65460,57109
NH,74468,51630,47902,83301,49014
NJ,85423,51309,53507,116131,48429
NM,50947,38490,33552,65019,47311
NY,73584,46178,41267,72131,47227
NC,58171,37242,38206,80500,48398
ND,66213,34565,36710,62223,48715
OH,58885,31669,33682,73058,47894
OK,54612,34138,42820,56996,40486
OR,60183,37078,42047,75929,60028
PA,63110,36847,37702,72699,51705
RI,67362,41630,34414,72907,41155
SC,58825,33371,39484,61898,35280
SD,59465,31957,27045,51288,38958
TN,54085,36683,43212,72881,26466
TX,62679,44688,52094,84851,53659
UT,70199,42739,41942,70759,64594
VT,60577,43548,41793,55568,54258
VA,76860,49273,61850,102735,79474
WA,71466,50487,45558,90131,65024
WV,45467,32070,29927,58521,60318
WI,61974,30002,41594,66408,38836
WY,63116,44712,49352,54025,37572
,,,,,53629.13725
